task,regime,seed,role,episodes,successes,success_rate_pct,steps,policy_action_steps,stay_steps,expired_chunks,wall_seconds,episodes_source_id,summary_source_id
bimanual_microwave_cook,rand_full,0,retry,50,1,2,54937,54930,7,0,8284.516889333725,accepted/bimanual_microwave_cook/rand_full/seed0/episodes.jsonl,accepted/bimanual_microwave_cook/rand_full/seed0/summary.json
bimanual_microwave_cook,rand_full,1,retry,50,0,0,55000,54994,6,0,8246.126732110977,accepted/bimanual_microwave_cook/rand_full/seed1/episodes.jsonl,accepted/bimanual_microwave_cook/rand_full/seed1/summary.json
bimanual_microwave_cook,rand_full,2,retry,50,1,2,54972,54965,7,0,8212.740979909897,accepted/bimanual_microwave_cook/rand_full/seed2/episodes.jsonl,accepted/bimanual_microwave_cook/rand_full/seed2/summary.json
bimanual_microwave_cook,rand_obj,0,retry,50,1,2,54928,54922,6,0,8308.981302261353,accepted/bimanual_microwave_cook/rand_obj/seed0/episodes.jsonl,accepted/bimanual_microwave_cook/rand_obj/seed0/summary.json
bimanual_microwave_cook,rand_obj,1,retry,50,2,4,54931,54924,7,0,8223.550072669983,accepted/bimanual_microwave_cook/rand_obj/seed1/episodes.jsonl,accepted/bimanual_microwave_cook/rand_obj/seed1/summary.json
bimanual_microwave_cook,rand_obj,2,retry,50,1,2,54930,54928,2,0,8174.901833534241,accepted/bimanual_microwave_cook/rand_obj/seed2/episodes.jsonl,accepted/bimanual_microwave_cook/rand_obj/seed2/summary.json
hammer_nail,rand_full,0,retained,50,2,4,48895,48893,2,0,5774.084295511246,accepted/hammer_nail/rand_full/seed0/episodes.jsonl,accepted/hammer_nail/rand_full/seed0/summary.json
hammer_nail,rand_full,1,retained,50,2,4,48784,48779,5,0,5810.319374084473,accepted/hammer_nail/rand_full/seed1/episodes.jsonl,accepted/hammer_nail/rand_full/seed1/summary.json
hammer_nail,rand_full,2,retained,50,6,12,47485,47479,6,0,5574.216553926468,accepted/hammer_nail/rand_full/seed2/episodes.jsonl,accepted/hammer_nail/rand_full/seed2/summary.json
hammer_nail,rand_obj,0,retained,50,14,28,42121,42121,0,0,4983.888656377792,accepted/hammer_nail/rand_obj/seed0/episodes.jsonl,accepted/hammer_nail/rand_obj/seed0/summary.json
hammer_nail,rand_obj,1,retained,50,9,18,44465,44465,0,0,5379.778666973114,accepted/hammer_nail/rand_obj/seed1/episodes.jsonl,accepted/hammer_nail/rand_obj/seed1/summary.json
hammer_nail,rand_obj,2,retained,50,9,18,45247,45245,2,0,5351.380751371384,accepted/hammer_nail/rand_obj/seed2/episodes.jsonl,accepted/hammer_nail/rand_obj/seed2/summary.json
water_plant,rand_full,0,retained,50,14,28,40188,40175,13,0,4537.452561855316,accepted/water_plant/rand_full/seed0/episodes.jsonl,accepted/water_plant/rand_full/seed0/summary.json
water_plant,rand_full,1,retry,50,10,20,38917,38906,11,0,4241.7727727890015,accepted/water_plant/rand_full/seed1/episodes.jsonl,accepted/water_plant/rand_full/seed1/summary.json
water_plant,rand_full,2,retry,50,9,18,42384,42376,8,0,4547.923418998718,accepted/water_plant/rand_full/seed2/episodes.jsonl,accepted/water_plant/rand_full/seed2/summary.json
water_plant,rand_obj,0,retained,50,11,22,43463,43460,3,0,4833.934984445572,accepted/water_plant/rand_obj/seed0/episodes.jsonl,accepted/water_plant/rand_obj/seed0/summary.json
water_plant,rand_obj,1,retained,50,11,22,42728,42726,2,0,4802.824374675751,accepted/water_plant/rand_obj/seed1/episodes.jsonl,accepted/water_plant/rand_obj/seed1/summary.json
water_plant,rand_obj,2,retry,50,11,22,39960,39949,11,0,4314.048335313797,accepted/water_plant/rand_obj/seed2/episodes.jsonl,accepted/water_plant/rand_obj/seed2/summary.json
